Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1749563632,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1749563633,5,,Aggregated,0.000000,0.000000,38,39,39,40,40,40,40,40,40,40,40,10,0,5,21.19300269996529,2.565606999269221,39.86061300020083,91.3
1749563634,10,,Aggregated,0.000000,0.000000,10,35,36,38,39,40,40,40,40,40,40,23,0,10,18.653626478344844,1.8057080005746684,39.86061300020083,100.43478260869566
1749563635,15,,Aggregated,0.000000,0.000000,10,35,37,38,39,40,40,40,40,40,40,35,0,10,18.507881114341476,1.8057080005746684,39.86061300020083,101.25714285714285
1749563636,20,,Aggregated,11.500000,0.000000,10,34,36,37,38,39,40,40,40,40,40,55,0,10,16.594486327366294,1.524938000329712,39.86061300020083,110.58181818181818
1749563637,25,,Aggregated,11.666667,0.000000,10,13,36,36,38,39,40,40,40,40,40,74,0,10,16.106045729786175,1.524938000329712,39.86061300020083,114.20270270270271
1749563638,30,,Aggregated,13.500000,0.000000,10,13,35,36,37,38,39,40,40,40,40,101,0,10,15.642755356476291,1.524938000329712,39.86061300020083,120.02970297029702
1749563639,35,,Aggregated,14.600000,0.000000,10,16,36,36,38,39,39,40,40,40,40,119,0,10,15.834308873981623,1.2567089997901348,39.86061300020083,120.39495798319328
1749563640,40,,Aggregated,16.333333,0.000000,10,11,34,36,38,38,39,40,40,40,40,151,0,10,15.362536589447506,1.2567089997901348,39.86061300020083,124.58940397350993
1749563641,45,,Aggregated,16.428571,0.000000,10,11,21,36,38,38,39,40,40,40,40,182,0,10,15.012326109911726,1.2567089997901348,39.86061300020083,127.0934065934066
1749563642,50,,Aggregated,18.625000,0.000000,10,11,21,36,38,39,54,55,67,67,67,214,0,10,15.50546306076693,1.2567089997901348,66.83040400002938,129.02803738317758
1749563643,50,,Aggregated,19.777778,0.000000,10,10,17,35,38,39,54,55,67,67,67,237,0,10,14.961044054867472,1.2567089997901348,66.83040400002938,132.22784810126583
1749563644,50,,Aggregated,19.777778,0.000000,10,11,17,24,37,38,42,55,67,67,67,262,0,10,14.780859038186296,1.2567089997901348,66.83040400002938,135.10687022900763
1749563645,50,,Aggregated,22.400000,0.000000,10,11,16,21,37,38,42,55,67,67,67,287,0,10,14.423094526149669,1.2567089997901348,66.83040400002938,137.4878048780488
1749563646,50,,Aggregated,23.900000,0.000000,10,11,16,19,37,38,40,54,67,67,67,311,0,10,14.199365678475562,1.2567089997901348,66.83040400002938,139.43729903536976
1749563647,50,,Aggregated,24.600000,0.000000,10,11,16,18,37,38,40,54,67,67,67,338,0,10,14.193167961546555,1.2567089997901348,66.83040400002938,141.2603550295858
1749563648,50,,Aggregated,25.500000,0.000000,10,12,16,18,37,38,40,54,67,67,67,361,0,10,14.102821639902272,1.2567089997901348,66.83040400002938,142.60387811634348
1749563649,50,,Aggregated,26.300000,0.000000,10,11,16,17,36,38,40,54,67,67,67,388,0,10,13.86854128093818,1.2567089997901348,66.83040400002938,143.97938144329896
1749563650,50,,Aggregated,26.000000,0.000000,10,11,15,17,36,38,39,54,67,67,67,414,0,10,13.624348137700991,1.2567089997901348,66.83040400002938,145.16666666666666
1749563651,50,,Aggregated,26.800000,0.000000,10,11,15,17,36,38,39,54,67,67,67,439,0,10,13.57822520502413,1.2567089997901348,66.83040400002938,146.14350797266516
1749563652,50,,Aggregated,26.200000,0.000000,10,11,15,16,35,38,39,54,67,67,67,468,0,10,13.45085775428315,1.2567089997901348,66.83040400002938,147.11752136752136
1749563653,50,,Aggregated,25.700000,0.000000,10,11,15,16,34,38,39,54,67,67,67,490,0,10,13.37595201633548,1.2567089997901348,66.83040400002938,147.79591836734693
1749563654,50,,Aggregated,25.700000,0.000000,10,11,15,16,31,38,39,42,67,67,67,514,0,10,13.339219560323794,1.2567089997901348,66.83040400002938,148.4669260700389
1749563655,50,,Aggregated,25.400000,0.000000,10,11,15,16,31,38,40,55,240,240,240,543,0,10,14.601806987117572,1.2567089997901348,241.11689900018973,149.20073664825046
1749563656,50,,Aggregated,25.200000,0.000000,10,11,15,16,30,38,40,55,240,240,240,568,0,10,14.472656014094623,1.2567089997901348,241.11689900018973,149.76760563380282
1749563657,50,,Aggregated,26.100000,0.000000,10,11,15,16,29,38,40,55,240,240,240,594,0,10,14.397252829972658,1.2567089997901348,241.11689900018973,150.32491582491582
1749563658,50,,Aggregated,25.500000,0.000000,10,11,15,16,27,37,39,55,240,240,240,623,0,10,14.366516667742166,1.2567089997901348,241.11689900018973,150.8780096308186
1749563659,50,,Aggregated,25.600000,0.000000,10,11,15,16,24,37,39,55,240,240,240,643,0,10,14.249522687408684,1.2567089997901348,241.11689900018973,151.23328149300156
1749563660,50,,Aggregated,26.000000,0.000000,10,11,15,16,23,37,39,55,240,240,240,673,0,10,14.17048379346921,1.2567089997901348,241.11689900018973,151.7340267459138
1749563661,50,,Aggregated,25.500000,0.000000,10,11,15,16,23,37,39,55,240,240,240,695,0,10,14.06685529208968,1.2567089997901348,241.11689900018973,152.06474820143885
1749563662,50,,Aggregated,25.500000,0.000000,10,11,15,16,23,37,39,54,240,240,240,719,0,10,13.948415934636753,1.2567089997901348,241.11689900018973,152.40333796940195
