Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/data/ingest,7411,0,9,11.248237726629082,4.743339000015112,241.11689900018973,162.30090406153016,24.76887973151441,0.0,9,10,12,14,16,20,26,31,54,240,240
GET,/health,50,0,2,2.5390966000122717,1.2567089997901348,4.782285000146658,20.0,0.16710889037588997,0.0,2,3,3,3,4,4,5,5,5,5,5
,Aggregated,7461,0,9,11.189873290718234,1.2567089997901348,241.11689900018973,161.3472724835813,24.9359886218903,0.0,9,10,12,14,16,20,26,31,54,240,240
